Modo privado,Comuna de origen,Comuna de destino,Distancia,Ingreso per cápita
1,BUIN,BUIN,4.17,77.48
1,BUIN,BUIN,4.17,77.48
1,BUIN,SAN BERNARDO,18.32,244.07
1,SAN BERNARDO,BUIN,18.32,244.07
1,BUIN,,7.75,244.07
1,,BUIN,7.75,244.07
1,BUIN,,7.75,244.07
1,,BUIN,7.75,244.07
1,BUIN,,37.12,385.76
1,,BUIN,37.12,385.76
0,SANTIAGO,BUIN,33.00,385.76
0,BUIN,BUIN,3.23,261.88
0,BUIN,BUIN,3.23,261.88
1,BUIN,BUIN,3.82,100.00
1,BUIN,BUIN,3.82,100.00
0,BUIN,BUIN,3.52,62.70
0,BUIN,BUIN,3.52,62.70
0,BUIN,,5.44,340.67
1,,BUIN,5.44,340.67
0,BUIN,BUIN,4.95,266.46
0,BUIN,BUIN,5.41,266.46
0,BUIN,BUIN,4.95,266.46
0,BUIN,BUIN,5.41,266.46
1,BUIN,QUILICURA,40.50,84.42
1,BUIN,QUILICURA,40.50,84.42
0,BUIN,PROVIDENCIA,48.03,189.51
0,BUIN,SANTIAGO,34.02,253.26
0,SANTIAGO,BUIN,34.02,253.26
1,BUIN,PADRE HURTADO,18.22,89.87
1,PADRE HURTADO,,27.92,89.87
0,BUIN,BUIN,1.88,254.00
0,BUIN,BUIN,2.07,254.00
0,BUIN,BUIN,2.07,254.00
0,BUIN,BUIN,1.36,254.00
0,BUIN,BUIN,1.36,254.00
1,BUIN,,8.43,254.00
1,,BUIN,8.43,254.00
0,BUIN,BUIN,1.92,254.00
0,BUIN,BUIN,1.92,254.00
1,BUIN,BUIN,3.00,363.93
1,BUIN,BUIN,3.00,363.93
0,CALERA DE TANGO,CALERA DE TANGO,2.01,162.50
0,CALERA DE TANGO,CALERA DE TANGO,2.01,162.50
0,CALERA DE TANGO,SANTIAGO,23.17,342.06
0,SANTIAGO,CALERA DE TANGO,23.17,342.06
0,CALERA DE TANGO,CALERA DE TANGO,4.84,342.06
0,CALERA DE TANGO,CALERA DE TANGO,4.84,342.06
1,CALERA DE TANGO,,20.55,54.24
1,,CALERA DE TANGO,20.55,54.24
1,CALERA DE TANGO,SAN BERNARDO,6.83,259.15
1,SAN BERNARDO,CALERA DE TANGO,6.83,259.15
1,CALERA DE TANGO,SAN BERNARDO,6.83,259.15
1,SAN BERNARDO,CALERA DE TANGO,10.69,259.15
1,CALERA DE TANGO,SAN BERNARDO,5.16,258.17
1,SAN BERNARDO,CALERA DE TANGO,5.16,258.17
1,SANTIAGO,SANTIAGO,2.51,258.17
1,CALERA DE TANGO,PEDRO AGUIRRE CERDA,18.13,117.11
1,PEDRO AGUIRRE CERDA,CALERA DE TANGO,18.13,117.11
1,CALERA DE TANGO,LAS CONDES,30.00,311.25
1,LAS CONDES,CALERA DE TANGO,30.00,311.25
1,CALERA DE TANGO,MAIPU,6.47,119.91
1,MAIPU,CALERA DE TANGO,6.47,119.91
1,CALERA DE TANGO,SAN BERNARDO,10.87,240.00
1,SAN BERNARDO,CALERA DE TANGO,10.87,240.00
0,CALERA DE TANGO,CALERA DE TANGO,2.84,240.00
0,CALERA DE TANGO,CALERA DE TANGO,2.84,240.00
1,CALERA DE TANGO,SAN BERNARDO,7.06,240.00
1,SAN BERNARDO,CALERA DE TANGO,7.08,240.00
0,CALERA DE TANGO,SAN BERNARDO,7.53,90.00
1,CALERA DE TANGO,CALERA DE TANGO,0.16,318.06
1,CALERA DE TANGO,CALERA DE TANGO,0.16,318.06
0,CALERA DE TANGO,CALERA DE TANGO,2.02,150.00
0,CALERA DE TANGO,CALERA DE TANGO,2.02,150.00
0,CALERA DE TANGO,SANTIAGO,21.52,264.95
0,CALERA DE TANGO,ÑUÑOA,24.86,264.95
0,CALERA DE TANGO,SANTIAGO,21.44,73.03
0,SANTIAGO,CALERA DE TANGO,21.45,73.03
0,CALERA DE TANGO,MACUL,19.81,214.92
0,MACUL,CALERA DE TANGO,19.81,214.92
0,CALERA DE TANGO,SAN BERNARDO,7.76,214.92
0,SAN BERNARDO,CALERA DE TANGO,7.76,214.92
0,CALERA DE TANGO,BUIN,11.53,173.06
0,BUIN,CALERA DE TANGO,11.53,173.06
0,CALERA DE TANGO,CALERA DE TANGO,3.20,98.04
0,CALERA DE TANGO,CALERA DE TANGO,3.19,98.04
0,CALERA DE TANGO,CALERA DE TANGO,3.20,98.04
0,CALERA DE TANGO,CALERA DE TANGO,3.19,98.04
1,,CALERA DE TANGO,6286.56,78.77
0,CALERA DE TANGO,CERRILLOS,13.60,294.51
0,CERRILLOS,CALERA DE TANGO,13.60,294.51
1,CALERA DE TANGO,TALAGANTE,11.78,211.33
0,TALAGANTE,CALERA DE TANGO,11.78,211.33
1,CALERA DE TANGO,CERRILLOS,12.94,211.33
1,CERRILLOS,CALERA DE TANGO,12.95,211.33
0,CALERA DE TANGO,CALERA DE TANGO,4.70,211.33
1,CALERA DE TANGO,CALERA DE TANGO,3.07,100.67
1,CALERA DE TANGO,CALERA DE TANGO,3.07,100.67
1,CALERA DE TANGO,MACUL,22.59,78.21
1,MACUL,CALERA DE TANGO,22.59,78.21
0,CALERA DE TANGO,SANTIAGO,19.94,223.24
0,SANTIAGO,CALERA DE TANGO,19.94,223.24
1,CALERA DE TANGO,SAN BERNARDO,6.49,214.66
1,SAN BERNARDO,CALERA DE TANGO,6.49,214.66
0,CALERA DE TANGO,SAN BERNARDO,4.47,214.66
1,CALERA DE TANGO,SAN BERNARDO,12.97,151.41
1,SAN BERNARDO,CALERA DE TANGO,12.97,151.41
0,CALERA DE TANGO,SAN BERNARDO,11.43,81.02
0,SAN BERNARDO,CALERA DE TANGO,11.43,81.02
1,CALERA DE TANGO,ÑUÑOA,25.84,83.53
1,ÑUÑOA,CALERA DE TANGO,25.84,83.53
1,CALERA DE TANGO,CALERA DE TANGO,2.25,82.19
1,CALERA DE TANGO,CALERA DE TANGO,2.25,82.19
1,CALERA DE TANGO,CALERA DE TANGO,0.15,157.43
0,CALERA DE TANGO,CALERA DE TANGO,3.44,157.43
0,CALERA DE TANGO,CALERA DE TANGO,3.51,157.43
1,CALERA DE TANGO,PEDRO AGUIRRE CERDA,18.59,180.67
1,PEDRO AGUIRRE CERDA,CALERA DE TANGO,18.60,180.67
1,CALERA DE TANGO,CALERA DE TANGO,1.73,500.01
1,CALERA DE TANGO,CALERA DE TANGO,1.73,500.01
1,CALERA DE TANGO,CALERA DE TANGO,2.82,180.22
1,CALERA DE TANGO,CALERA DE TANGO,2.82,180.22
1,CALERA DE TANGO,CALERA DE TANGO,2.82,180.22
1,CALERA DE TANGO,CALERA DE TANGO,2.82,180.22
0,CALERA DE TANGO,MAIPU,5.95,163.21
0,MAIPU,CALERA DE TANGO,5.95,163.21
1,CALERA DE TANGO,MAIPU,5.96,163.21
1,MAIPU,CALERA DE TANGO,5.96,163.21
0,CALERA DE TANGO,SANTIAGO,18.43,118.90
0,SANTIAGO,CALERA DE TANGO,18.43,118.90
1,CALERA DE TANGO,MAIPU,7.03,151.98
1,MAIPU,CALERA DE TANGO,7.03,151.98
0,CALERA DE TANGO,SAN BERNARDO,9.78,103.66
0,SAN BERNARDO,CALERA DE TANGO,9.78,103.66
0,CALERA DE TANGO,CALERA DE TANGO,1.20,103.66
0,CALERA DE TANGO,SANTIAGO,23.82,777.33
0,SANTIAGO,CALERA DE TANGO,23.82,777.33
0,CALERA DE TANGO,SAN BERNARDO,6.96,161.78
